"","geneNames","feature","id","fc","pval","qval","logFC"
"197","CSE1L","gene","MSTRG.24050",2.15528064632819,5.88760614705919e-08,3.4901251058557e-06,1.10787573971063
"216","ENC1","gene","MSTRG.30449",2.10687599089018,7.7497028905249e-08,4.16023072669282e-06,1.0751054007272
"222","PHLDA1","gene","MSTRG.8918",3.58478699381148,7.97713409772527e-08,4.1962599996953e-06,1.841887397281
"224","GRINA","gene","MSTRG.37480",2.13301982908935,8.14836151885601e-08,4.23224132205845e-06,1.09289737739715
"226","THBS2","gene","MSTRG.33852",6.88981325194431,8.44592655813159e-08,4.36422700645401e-06,2.78446487928006
"235","SNTB1","gene","MSTRG.37235",2.71453672851539,9.16319493615703e-08,4.55352299848688e-06,1.44070600410611
"249","SPP1","gene","MSTRG.28964",8.80157999710429,1.05626016710936e-07,4.95106872117509e-06,3.13776252936119
"260","ANLN","gene","MSTRG.34374",2.83223194263778,1.17264609578172e-07,5.26698504097649e-06,1.50193941824264
"268","FAM89A","gene","MSTRG.3633",2.04217586375638,1.26430902858132e-07,5.50917941633309e-06,1.03010711050775
"269","EPOP","gene","MSTRG.16458",2.63796237298923,1.273691088155e-07,5.52942919236957e-06,1.39942398661789
"286","ADAMTS12","gene","MSTRG.30052",2.28039165185697,1.53259167356978e-07,6.25790404333844e-06,1.18928162512133
"293","SNAI1","gene","MSTRG.24070",2.28011856323924,1.5926558960544e-07,6.33088054469835e-06,1.18910884463124
"304","GTF2IRD1","gene","MSTRG.34724",2.32478121337766,1.77741147355803e-07,6.82783262770089e-06,1.21709494967131
"310","STC1","gene","MSTRG.36282",2.49155841602786,1.84466658836868e-07,6.94678081370486e-06,1.31704839923748
"311","SMOX","gene","MSTRG.23452",2.964225095409,1.85001612695856e-07,6.94678081370486e-06,1.56765500624695
"320","CASC19","gene","MSTRG.37309",2.29562388670052,2.01703006741383e-07,7.36089910226834e-06,1.19888629129909
"321","STC2","gene","MSTRG.31579",3.37566478306804,2.02381526981377e-07,7.36265256102342e-06,1.75517164580545
"328","FOXQ1","gene","MSTRG.31798",6.269270492119,2.09547438956292e-07,7.4606554638158e-06,2.64829757721661
"333","DBNDD1","gene","MSTRG.15467",3.11094675940014,2.20660687721974e-07,7.73836489855019e-06,1.63735370486694
"334","DGAT2","gene","MSTRG.6863",3.76195085752322,2.2330579341201e-07,7.78681740746063e-06,1.91148100301565
"342","TRIB3","gene","MSTRG.23368",4.16126550722245,2.44763540990789e-07,8.35774453710653e-06,2.05702234167103
"360","FJX1","gene","MSTRG.6105",2.08934966314467,2.65917298958307e-07,8.56527179679636e-06,1.06305395486108
"361","SULF1","gene","MSTRG.36731",3.49405920985252,2.6624066784553e-07,8.56527179679636e-06,1.80490405617592
"373","MMP7","gene","MSTRG.7100",10.1824493519779,2.9139149781976e-07,9.12297563415322e-06,3.34801273320787
"377","RGS16","gene","MSTRG.2980",2.35228931604856,2.97352516498428e-07,9.19293011051332e-06,1.23406551304802
"396","TIMP1","gene","MSTRG.39679",3.4278748162973,3.31946943710193e-07,9.78908184001928e-06,1.77731442415147
"416","SPARC","gene","MSTRG.31367",2.60127055884371,4.23592403153705e-07,1.18911348173773e-05,1.37921646218056
"429","SLC19A2","gene","MSTRG.2798",2.05357983202425,4.573884602177e-07,1.24242398834676e-05,1.03814103255038
"430","ESM1","gene","MSTRG.30233",2.76440126943132,4.5747757748682e-07,1.24242398834676e-05,1.46696704676832
"451","CDC6","gene","MSTRG.16526",2.01245473550629,5.49677870109733e-07,1.42331223218214e-05,1.00895633423595
"471","FPR1","gene","MSTRG.20198",2.56667382487125,6.38494232596543e-07,1.58308612489648e-05,1.35989996862866
"477","IFITM2","gene","MSTRG.5499",2.15946720362503,6.55782396941085e-07,1.60549828752159e-05,1.11067540613659
"535","RRP12","gene","MSTRG.5016",2.27327790245182,9.64288773053212e-07,2.1048531386384e-05,1.18477406074258
"546","CCN4","gene","MSTRG.37357",2.05931870270162,1.01622887904718e-06,2.16962818643412e-05,1.04216712051238
"559","SLC7A5","gene","MSTRG.15374",3.59712139595655,1.0824513145824e-06,2.26133568008824e-05,1.84684284848891
"572","SLC5A6","gene","MSTRG.20796",2.3151839818211,1.13415316704835e-06,2.31549662321514e-05,1.21112684537066
"575","SCD","gene","MSTRG.5071",3.38582153463188,1.14209387869213e-06,2.31954301136812e-05,1.75950593132952
"580","SULT2B1","gene","MSTRG.20019",3.59234920595378,1.18364202084109e-06,2.38320198610039e-05,1.84492759874563
"592","PPM1H","gene","MSTRG.8726",2.02374927268222,1.24254718192329e-06,2.44966412488333e-05,1.01703056203596
"598","DDX21","gene","MSTRG.4589",2.04044707440508,1.27272212591123e-06,2.48407642880348e-05,1.02888529011888
"649","TRIP13","gene","MSTRG.29845",2.36595065416778,1.67016847574253e-06,3.00527387669049e-05,1.24241998418918
"655","KPNA2","gene","MSTRG.17270",2.02830787835974,1.72877312110131e-06,3.07962409523028e-05,1.02027665671516
"659","OSM","gene","MSTRG.25329",2.16803492430535,1.76294288856127e-06,3.12407390783285e-05,1.11638799687459
"670","PSAT1","gene","MSTRG.38249",3.28694501903433,1.86415660341499e-06,3.24919713651944e-05,1.71674732455637
"673","GDF15","gene","MSTRG.19214",3.20782358727144,1.87442246146752e-06,3.25252682095359e-05,1.68159480364856
"682","ANXA3","gene","MSTRG.28874",2.0480079277243,1.96577870670289e-06,3.36603573854492e-05,1.03422129994065
"698","DHCR7","gene","MSTRG.6714",2.26026387340388,2.10796550748071e-06,3.51712973350921e-05,1.17649120920182
"700","FOSL1","gene","MSTRG.6539",2.92552134268029,2.11056407328769e-06,3.51712973350921e-05,1.54869374315007
"707","PFDN4","gene","MSTRG.24141",2.11994815169544,2.13438662932663e-06,3.52452732534649e-05,1.08402898072877
"715","PLS3","gene","MSTRG.40282",2.22563302065327,2.26100542766172e-06,3.69287012366903e-05,1.15421572972828
"720","COL4A2","gene","MSTRG.10504",2.66020061803715,2.30233489251219e-06,3.73425928816075e-05,1.41153505013751
"721","SQLE","gene","MSTRG.37297",2.73288606576422,2.30631735120834e-06,3.73553037828169e-05,1.45042531504471
"723","DSCC1","gene","MSTRG.37226",2.21034829536943,2.31591336075088e-06,3.74069657356137e-05,1.1442737200288
"739","MYC","gene","MSTRG.37322",2.51824086219906,2.43687659162717e-06,3.84402817563499e-05,1.33241627911784
"756","RFC3","gene","MSTRG.9958",2.58828989517509,2.60413344777e-06,4.02262836019286e-05,1.37199921196302
"757","GTF3A","gene","MSTRG.9862",2.35521564800155,2.60807819041364e-06,4.02339988212028e-05,1.23585916177388
"758","PAQR4","gene","MSTRG.13889",2.19160204419276,2.64676061978442e-06,4.07768740340929e-05,1.13198585441512
"765","HSPH1","gene","MSTRG.9930",2.30643639209916,2.74722702919838e-06,4.19374081659853e-05,1.20566550568409
"777","MDFI","gene","MSTRG.32616",2.70176823104517,2.88286645511171e-06,4.32757061905558e-05,1.43390391956986
"783","IER5L","gene","MSTRG.38924",2.10746183122121,2.95395379146246e-06,4.40565419881208e-05,1.07550650238609
"798","OLFML2B","gene","MSTRG.2681",2.6055242902873,3.23122823853161e-06,4.72860693854288e-05,1.38157370451565
"811","CXCL2","gene","MSTRG.28796",3.05320036350281,3.43455419238303e-06,4.94453545766512e-05,1.61032226820402
"821","PPAT","gene","MSTRG.28638",2.39604189968533,3.59146515971354e-06,5.10854203838425e-05,1.26065313681606
"886","TACSTD2","gene","MSTRG.1335",3.81137704759764,4.70122511342375e-06,6.19649061789645e-05,1.93031233651325
"890","DPEP1","gene","MSTRG.15446",9.92039932730455,4.78110613366667e-06,6.27345589089431e-05,3.31039819479831
"897","CA9","gene","MSTRG.37892",4.88147263547172,4.94247331106479e-06,6.43002493062523e-05,2.28731644356525
"899","ADAM12","gene","MSTRG.5406",2.14141512472241,4.97779646035923e-06,6.46615206496942e-05,1.09856449694939
"900","BOP1","gene","MSTRG.37495",2.05672481883079,5.00724887442239e-06,6.49718359505607e-05,1.04034878021889
"906","UHRF1","gene","MSTRG.18705",2.37037072522592,5.11831957294984e-06,6.59476448277763e-05,1.24511271381472
"920","TOMM34","gene","MSTRG.23970",2.14825325660174,5.46363517772708e-06,6.93525343538009e-05,1.10316408201317
"926","VEGFA","gene","MSTRG.32694",2.37890591065179,5.598130531137e-06,7.05993178645982e-05,1.25029821210755
"936","FABP6","gene","MSTRG.31458",3.59836578901875,5.852174692067e-06,7.29384780707473e-05,1.84734185006351
"937","NEBL","gene","MSTRG.4096",2.40740404528512,5.85231665972685e-06,7.29384780707473e-05,1.26747829603338
"943","CKS2","gene","MSTRG.38332",2.03674806190856,5.99560183256465e-06,7.42488209975503e-05,1.02626753537786
"959","IQGAP3","gene","MSTRG.2520",2.27993483009262,6.33023667406807e-06,7.7084988404345e-05,1.18899258682602
"983","SERPINE1","gene","MSTRG.35085",5.27538365458496,6.76216419370768e-06,8.03342354568853e-05,2.39927601826343
"1012","NELFCD","gene","MSTRG.24197",2.14108832989656,7.54080469711482e-06,8.70173095384456e-05,1.09834431486172
"1015","SLC29A1","gene","MSTRG.32705",2.23879694070906,7.58273276368904e-06,8.72425154821287e-05,1.16272368142094
"1018","IER3","gene","MSTRG.32317",2.34573192185405,7.64895427196599e-06,8.77450766090558e-05,1.23003814673781
"1024","PLAU","gene","MSTRG.4714",2.18547976359523,7.82753251549195e-06,8.92215137236389e-05,1.12795001958047
"1039","COL5A1","gene","MSTRG.39034",2.27840516530326,8.23934948324112e-06,9.26074333640903e-05,1.18802432211083
"1044","OLR1","gene","MSTRG.7871",2.46526665905328,8.42779976584218e-06,9.42718828213649e-05,1.30174370619215
"1052","VSNL1","gene","MSTRG.20675",2.44029978366692,8.56352326739085e-06,9.50616204530326e-05,1.28705838952712
"1066","CST4","gene","MSTRG.23667",4.44678880236642,8.9442807233997e-06,9.79843436096264e-05,2.15276388635928
"1081","PRSS22","gene","MSTRG.13880",2.56636299957003,9.49853006848578e-06,0.000102612242497481,1.3597252470607
"1096","ELOVL5","gene","MSTRG.32784",2.17038022136666,1.00175195509866e-05,0.000106737767624472,1.11794780554008
"1114","MAP3K20","gene","MSTRG.22466",2.07350596041609,1.06169491885799e-05,0.000111296887454431,1.05207219436245
"1117","CLDN2","gene","MSTRG.40218",5.72282123257181,1.08498503101906e-05,0.000113432902347722,2.51672654120275
"1124","LARGE2","gene","MSTRG.6173",3.06677092826481,1.10857778663487e-05,0.000115177681426352,1.61672040886165
"1141","TNFAIP6","gene","MSTRG.22251",2.00710666935386,1.17237205187193e-05,0.000119990892390538,1.00511729196631
"1149","PTP4A3","gene","MSTRG.37408",2.32751525671631,1.19252733208342e-05,0.00012120395286397,1.21879062459043
"1155","PCSK9","gene","MSTRG.1300",3.06120391353507,1.22011995740134e-05,0.000123364163311973,1.61409914916005
"1174","G0S2","gene","MSTRG.3335",2.84009844799206,1.31283513837843e-05,0.000130590193747729,1.50594093957794
"1178","TPX2","gene","MSTRG.23741",2.84246342761129,1.33168675638951e-05,0.00013201560221661,1.50714178688595
"1184","MMP11","gene","MSTRG.25186",3.83699427988872,1.35796893987461e-05,0.000133938862160943,1.93997661420254
"1201","THY1","gene","MSTRG.7381",2.42689642593215,1.42627091639369e-05,0.000138684361046174,1.27911253906895
"1210","CDC25B","gene","MSTRG.23442",2.14757916676221,1.45664493008679e-05,0.000140584293335153,1.10271131478171
"1217","ASCL2","gene","MSTRG.5609",3.94085174239728,1.49707101966268e-05,0.000143544170533726,1.97850747529876
"1219","AZGP1","gene","MSTRG.35018",5.50543724592777,1.49881619866399e-05,0.000143586345922872,2.46085714825489
"1224","TPD52L1","gene","MSTRG.33339",2.09564436351219,1.51478474956779e-05,0.000144523335828861,1.06739390841641
"1261","CDCA5","gene","MSTRG.6482",2.12250513042913,1.67426632586842e-05,0.000155049616953224,1.08576804100362
"1286","SORD","gene","MSTRG.12627",2.21335840811553,1.76085705618778e-05,0.000159801991727355,1.14623708500421
"1331","SAPCD2","gene","MSTRG.39122",2.2964484878105,2.09336533130156e-05,0.000183668822982266,1.19940442248164
"1339","RPL22L1","gene","MSTRG.27627",2.02091946272445,2.14629257822008e-05,0.000187187488636699,1.01501182887093
"1353","CHI3L1","gene","MSTRG.3192",4.41010778946492,2.26483554115475e-05,0.00019548225757284,2.14081391778417
"1368","TDGF1","gene","MSTRG.26345",2.85372176882244,2.39620071345037e-05,0.000204552864997613,1.51284468228832
"1411","RRM2","gene","MSTRG.20601",2.20135281395547,2.63807478638745e-05,0.000218337614141974,1.13839038655269
"1423","ALDH4A1","gene","MSTRG.442",2.84722946521794,2.79852677087522e-05,0.000229664059243013,1.50955876810358
"1436","APLN","gene","MSTRG.40385",2.10284172358589,2.94750491043327e-05,0.000239700294874929,1.07234026557563
"1443","UBE2C","gene","MSTRG.24000",2.70136268574612,3.026505539383e-05,0.000244930919535098,1.43368734951006
"1444","INHBB","gene","MSTRG.22010",2.35660445207129,3.03051703212098e-05,0.000244955494703492,1.23670962752158
"1456","DDIT4","gene","MSTRG.4650",2.51688816190481,3.11947990877526e-05,0.000250201142683224,1.33164111167171
"1465","CADPS","gene","MSTRG.26623",2.34651732957916,3.15804440025325e-05,0.000251738174103464,1.23052111504574
"1471","LY6E","gene","MSTRG.37431",2.44913722461664,3.27102677762925e-05,0.000259680834188677,1.29227361005036
"1492","KRT17","gene","MSTRG.16571",4.04256522899697,3.50249962541849e-05,0.000274143368804538,2.01527105255886
"1497","C2","gene","MSTRG.32390",3.5647828678585,3.55647206415899e-05,0.000277438081264186,1.83381420429783
"1500","LINC01614","gene","MSTRG.22938",2.128102919344,3.5899451010124e-05,0.000279489192597486,1.08956792416463
"1509","S100A8","gene","MSTRG.2387",2.44648646991111,3.67328457469007e-05,0.000284271817516439,1.29071130408871
"1511","S100A2","gene","MSTRG.2392",2.73881929363829,3.6892736108296e-05,0.000285033961527772,1.45355408065727
"1539","PMEPA1","gene","MSTRG.24171",2.63714465690522,4.10333759073289e-05,0.000311363069425463,1.39897671040453
"1541","PLEKHS1","gene","MSTRG.5244",2.03813633162704,4.13708963029613e-05,0.000313516759913032,1.02725055708956
"1589","ELFN1-AS1","gene","MSTRG.33933",2.48707391988373,4.71831739980999e-05,0.000346762181214481,1.31444938743614
"1594","TNFRSF11B","gene","MSTRG.37211",2.00503687267269,4.79662345099774e-05,0.000351328333401008,1.00362876811804
"1595","PYCR1","gene","MSTRG.17627",2.01847036106285,4.79849881636074e-05,0.000351328333401008,1.01326240264127
"1604","MSX2","gene","MSTRG.31595",2.30311612329151,4.87297640658912e-05,0.000354541942565384,1.20358715375919
"1611","REEP6","gene","MSTRG.18547",3.05116322352617,4.99469896804161e-05,0.000362061418676536,1.60935935968486
"1670","CPXM1","gene","MSTRG.23413",2.18196667605725,6.06879070592647e-05,0.000424308511417121,1.12562906836451
"1686","C2CD4A","gene","MSTRG.12914",2.00028729165906,6.21566935810058e-05,0.000430325524849376,1.00020722224296
"1698","MYBL2","gene","MSTRG.23941",2.64402225272838,6.43534920869993e-05,0.000442591331326253,1.4027343189658
"1702","H19","gene","MSTRG.5596",6.76293320923128,6.50145592575591e-05,0.000446086970040996,2.75764910576636
"1703","COL11A1","gene","MSTRG.1799",2.7390831032673,6.55369788848947e-05,0.000449407421854258,1.45369303780409
"1718","IL1B","gene","MSTRG.21932",2.37683349052581,6.85097569035342e-05,0.00046551845343599,1.24904083857404
"1790","UBD","gene","MSTRG.32235",2.77584862870798,8.28491019395639e-05,0.000540509392430294,1.47292889768325
"1808","NR0B2","gene","MSTRG.639",2.35163358536866,8.51518573865562e-05,0.000550001875309847,1.23366328732027
"1814","MORC4","gene","MSTRG.40216",2.03439306812378,8.68769849120543e-05,0.000559288550056764,1.0245984513913
"1833","FKBP10","gene","MSTRG.16579",2.17361444419078,9.146113030023e-05,0.000582696715573424,1.12009605775992
"1887","BCL2A1","gene","MSTRG.13279",2.16015572821002,0.000107219190670471,0.00066354303585043,1.11113532174885
"1898","TRIM29","gene","MSTRG.7392",3.53110966515827,0.000110559528378462,0.000680120080742708,1.82012162736293
"1916","SFRP4","gene","MSTRG.34390",2.85137663865226,0.00011690253669161,0.000712519740858361,1.51165861760874
"1918","KLK6","gene","MSTRG.20146",3.03795727504107,0.000117923030557354,0.000717990172496758,1.6031015803338
"1928","PLAAT3","gene","MSTRG.6412",2.30462444714585,0.000121544785340211,0.000736203321163372,1.2045316736987
"1943","NNMT","gene","MSTRG.7257",3.55124123915046,0.000127813188744552,0.000767754951047157,1.82832336731597
"1944","MFAP2","gene","MSTRG.422",2.33726196362074,0.000127824080391914,0.000767754951047157,1.22481944248021
"1983","SPHK1","gene","MSTRG.17441",2.07230422948431,0.000145142360174599,0.000854751629913753,1.05123581680299
"2019","KISS1","gene","MSTRG.3220",2.3232597936319,0.000160238936866675,0.000926830264848452,1.21615048950094
"2022","PROX1","gene","MSTRG.3407",2.13505613109872,0.00016070342796537,0.000928137800088816,1.09427399911662
"2028","CXCL3","gene","MSTRG.28794",2.428046692908,0.00016460651561534,0.000947867302443756,1.27979616581892
"2057","ATP6V1C2","gene","MSTRG.20615",2.06042778243539,0.000173431076121,0.00098460287162909,1.04294389834387
"2064","COMP","gene","MSTRG.19235",3.06627789678042,0.000176270711370163,0.000997330119855023,1.61648845438049
"2066","CXCL11","gene","MSTRG.28828",2.39439075440599,0.000177848261634361,0.00100528170346857,1.25965861320091
"2068","MMP9","gene","MSTRG.24014",2.43227977425771,0.000178021967656372,0.00100529039569203,1.28230918508062
"2101","IL6","gene","MSTRG.34160",2.01691422242497,0.00019472380327834,0.00108233440013539,1.0121497287136
"2234","AQP9","gene","MSTRG.12839",3.99470307535317,0.000275635785408679,0.00144085707341206,1.9980882722057
"2406","TDO2","gene","MSTRG.29542",3.50897775667695,0.000390382719318128,0.00189480024779597,1.81105080256095
"2468","MMP1","gene","MSTRG.7109",3.66984140602226,0.000441682923194797,0.00208994050934718,1.87571771764913
"2491","CXCL6","gene","MSTRG.28788",2.21495284741316,0.000459470414144403,0.00215403271633012,1.14727598657836
"2520","S100P","gene","MSTRG.28210",3.48717270782613,0.000484403121591481,0.00224478557696243,1.80205781767184
"2553","AGT","gene","MSTRG.3624",3.05427983727562,0.000512077044496184,0.00234235633592888,1.61083224987365
"2564","PKMYT1","gene","MSTRG.13888",2.1102943235227,0.000521354075307623,0.00237456041007895,1.07744422617149
"2571","KHK","gene","MSTRG.20792",2.25485365447753,0.000528151426805845,0.00239897019145805,1.17303380207894
"2581","CXCL10","gene","MSTRG.28827",2.63676301960196,0.000541345604039289,0.00244937387213128,1.39876791408895
"2603","COL6A3","gene","MSTRG.23248",2.01094855572298,0.000568838635034874,0.00255201597385219,1.00787617495373
"2650","MARCO","gene","MSTRG.21983",3.38791658852284,0.000603165665766903,0.00265802590370788,1.76039835554207
"2659","EREG","gene","MSTRG.28802",2.43115827689279,0.000611482435482147,0.00268555542743908,1.28164382090885
"2729","PLIN2","gene","MSTRG.37713",2.30858388829085,0.000695333976946433,0.00297548925715663,1.2070081573482
"2833","SP5","gene","MSTRG.22427",2.12027643747599,0.000830367312858682,0.00342288368498542,1.08425237279613
"2871","NIT2","gene","MSTRG.26818",2.66019738669485,0.000878656037961001,0.0035739969388048,1.41153329769662
"2926","NOTUM","gene","MSTRG.17630",2.6604458662148,0.000962563103850012,0.00384169922308969,1.41166804838537
"2980","SERPINB5","gene","MSTRG.18343",2.84616632357289,0.00107654171912119,0.00421842145659071,1.50901997218852
"3077","RUBCNL","gene","MSTRG.10109",2.08773154463073,0.00126465652787822,0.00479969416072857,1.06193621184567
"3092","SLC2A1","gene","MSTRG.1012",2.35704035761063,0.00129072008263986,0.00487385899715239,1.23697646084784
"3107","UCA1","gene","MSTRG.19110",2.05376118855075,0.00131843280061017,0.00495547416978615,1.03826843476036
"3126","KRT6B","gene","MSTRG.8489",2.20026334881584,0.00135424205438206,0.00505912946611443,1.1376762097921
"3171","KRT7","gene","MSTRG.8476",2.45991724680769,0.00145919422863949,0.00537384743047997,1.2986097831953
"3210","NDUFA4L2","gene","MSTRG.8663",2.15654627402214,0.00154302826756858,0.00561354645129778,1.10872267298686
"3295","CXCL1","gene","MSTRG.28789",2.26929474976826,0.00179477067201583,0.00636095050312622,1.18224400716441
"3296","AREG","gene","MSTRG.28803",2.38505730897171,0.0017956128271801,0.00636200442834019,1.25402393221651
"3324","F12","gene","MSTRG.31653",2.60556657467301,0.00185577263841585,0.00651976921522874,1.38159711745361
"3406","FCN3","gene","MSTRG.655",3.61946717869687,0.00208454624129462,0.00714719054780931,1.85577733398557
"3432","OR2I1P","gene","MSTRG.32234",2.75746550854699,0.00216494555249502,0.00736618862151907,1.46334284013781
"3462","TM4SF4","gene","MSTRG.27414",3.66647630468662,0.00225062489740124,0.00759179594218709,1.87439421571235
"3464","APOC4","gene","MSTRG.19875",4.5619082550911,0.00225718267449371,0.00760688226580036,2.18963743278419
"3504","GLYATL1","gene","MSTRG.6267",2.49968775109041,0.00245051571674382,0.00816698702629404,1.32174789165212
"3578","APOA2","gene","MSTRG.2654",7.30187690970056,0.00278243593159611,0.00908141051122955,2.8682673489616
"3579","TNC","gene","MSTRG.38685",2.32852929742063,0.00278676096399433,0.00909298534158306,1.2194190341778
"3583","TFR2","gene","MSTRG.35057",3.72411361333965,0.00279802386493289,0.00911954303507849,1.89689708656519
"3587","HSD11B1","gene","MSTRG.3336",3.47174908228559,0.00282436483434267,0.00919513034163751,1.79566268199222
"3651","HPN","gene","MSTRG.19495",3.39537345247312,0.00314169159754507,0.0100489385034597,1.76357026324767
"3654","ADAMTSL2","gene","MSTRG.39019",2.03710302649521,0.00314856957184073,0.0100605498992252,1.02651894645747
"3726","ASGR1","gene","MSTRG.15709",3.14577004945469,0.00355722137759429,0.0111490153643441,1.65341321600592
"3740","MST1","gene","MSTRG.26429",2.50096631837842,0.00363226161264862,0.0113414584625297,1.32248562823635
"3794","SLC27A5","gene","MSTRG.20494",2.99045082983587,0.00388658214592574,0.0119629695045126,1.5803629964432
"3825","SERPINF2","gene","MSTRG.15537",4.06369768132192,0.00400984300015395,0.012242338968836,2.02279307684407
"3857","F7","gene","MSTRG.10548",2.44731118129112,0.00419270523170345,0.0126944287518364,1.29119755510036
"3897","PHGDH","gene","MSTRG.2044",2.12017094239812,0.00440223634063575,0.0131920236042967,1.08418058922611
"3909","SAA4","gene","MSTRG.5937",3.12582955871017,0.00446093385780832,0.0133268829857983,1.64423911502747
"3931","PIPOX","gene","MSTRG.16179",3.06792712873322,0.0045950848785794,0.0136508270699695,1.61726421547978
"3939","LBP","gene","MSTRG.23901",4.56937353931113,0.00464035235752125,0.0137573076494372,2.1919963854844
"3942","BMP7","gene","MSTRG.24159",2.23106724764524,0.00465030474054329,0.0137754966332996,1.15773399918589
"3952","ALDOB","gene","MSTRG.38540",4.71634480235421,0.00473324223574845,0.0139865391773963,2.2376691946668
"4012","SERPINA10","gene","MSTRG.11759",2.64982279184557,0.00505966640637667,0.0147275135328182,1.40589588198753
"4038","F5","gene","MSTRG.2801",2.22381471691395,0.0052367694369968,0.0151448720864905,1.15303659106286
"4040","LINC01485","gene","MSTRG.31583",2.1566340967022,0.00524444107246225,0.0151595502089639,1.10878142376199
"4064","MMP3","gene","MSTRG.7111",2.47727171635435,0.005453170056401,0.015669812972109,1.30875211740864
"4207","AMBP","gene","MSTRG.38669",5.97481011110833,0.00672628659538665,0.018668213520107,2.57889286269747
"4214","HABP2","gene","MSTRG.5240",2.99471672011878,0.00681752175068118,0.0188929803048065,1.58241954030665
"4255","PAH","gene","MSTRG.9167",2.94341713410506,0.00713979067002168,0.0195954113853145,1.55749201209146
"4304","APCS","gene","MSTRG.2580",5.38515791777069,0.00750319935045285,0.0203542968157104,2.42898865189003
"4321","HP","gene","MSTRG.15093",6.99227217467365,0.00762968662718921,0.0206201065568886,2.80576134293485
"4322","RBP4","gene","MSTRG.4960",4.31691371131036,0.00763676125882373,0.0206344511755075,2.11000025575772
"4329","AKR1C4","gene","MSTRG.3912",2.85154125638887,0.00775611240026053,0.0209230493440154,1.51174190591718
"4335","MTTP","gene","MSTRG.29054",2.51506121051752,0.00780880418870533,0.0210360358283047,1.33059351217214
"4337","IGFBP1","gene","MSTRG.34490",3.46486538662083,0.00782190215250289,0.0210581706826942,1.79279930335035
"4339","MAT1A","gene","MSTRG.4815",4.08424780604253,0.00782491517397688,0.0210587607961646,2.03007040238192
"4388","FGB","gene","MSTRG.29525",6.35521110041141,0.00843438157185505,0.0224468340920974,2.66794004788302
"4408","CD5L","gene","MSTRG.2558",2.44036769506722,0.008650045518236,0.0229163410984483,1.28709853790472
"4418","ALB","gene","MSTRG.28783",7.32867953903063,0.0087945705444672,0.023246490452306,2.87355328101902
"4421","SEBOX","gene","MSTRG.16135",5.73902944074145,0.00887181076160326,0.0234347446446512,2.52080677532917
"4423","FGA","gene","MSTRG.29526",6.45711682763091,0.00888537436975179,0.0234599597309431,2.69089012978295
"4426","FGG","gene","MSTRG.29527",6.2416102497188,0.00889945382287705,0.0234812069009395,2.64191827261225
"4447","HAMP","gene","MSTRG.19510",2.54358121109934,0.00915113392946987,0.0240312439910837,1.34686115709808
