"","geneNames","feature","id","fc","pval","qval","logFC"
"43","FUCA1","gene","MSTRG.555",0.396379059267961,1.48006895628328e-09,3.75790556472744e-07,-1.33504734802461
"44","GUCA2A","gene","MSTRG.990",0.0394994197112576,1.52999968250356e-09,3.75790556472744e-07,-4.66202473106322
"45","C11orf86","gene","MSTRG.6592",0.172100437543762,1.53605517194677e-09,3.75790556472744e-07,-2.53867732963351
"48","ABHD3","gene","MSTRG.17940",0.402470077492984,1.57171631265385e-09,3.75790556472744e-07,-1.31304656795127
"50","INHBA","gene","MSTRG.34438",4.61524845874753,1.608967958866e-09,3.75790556472744e-07,2.20640831646353
"53","SLC51B","gene","MSTRG.12975",0.150939625242846,1.88497684128208e-09,4.15335085896078e-07,-2.72795649752625
"54","SLC4A4","gene","MSTRG.28765",0.110486398739347,1.95952276627054e-09,4.22586515800496e-07,-3.17805931512623
"56","AQP8","gene","MSTRG.14345",0.0299213819092534,2.06184003204157e-09,4.29967283824669e-07,-5.06267938261109
"58","C2orf88","gene","MSTRG.22654",0.152040732443193,2.23871443605361e-09,4.50753572141967e-07,-2.71747021449844
"59","TINCR","gene","MSTRG.18713",0.471765143444497,2.46069142839644e-09,4.87050076284978e-07,-1.08385926646995
"62","SLC26A2","gene","MSTRG.31325",0.0836830785679837,2.72038969129085e-09,5.12398561530557e-07,-3.57892026274693
"64","GPR15","gene","MSTRG.26798",0.151386299018485,2.90779966771737e-09,5.27349384283637e-07,-2.7236934525262
"65","PLCL2","gene","MSTRG.26011",0.385792160076068,2.93523805261486e-09,5.27349384283637e-07,-1.37410426911129
"66","GREM2","gene","MSTRG.3738",0.238377534343854,3.05596781213779e-09,5.33467647993206e-07,-2.06867981805516
"67","RSPO2","gene","MSTRG.37175",0.425762741169392,3.06065528477006e-09,5.33467647993206e-07,-1.23187839094513
"69","CA2","gene","MSTRG.36907",0.0732953663426647,3.20928017494282e-09,5.43159041782351e-07,-3.77013419422276
"70","BMP3","gene","MSTRG.28892",0.208245794902336,3.27950200329497e-09,5.47114634206837e-07,-2.26364073127636
"74","CDKN2B","gene","MSTRG.37753",0.175954326331107,4.08731382073313e-09,6.38633300651392e-07,-2.50672710765571
"75","PMAIP1","gene","MSTRG.18314",2.05531526733102,4.10151546059723e-09,6.38633300651392e-07,1.0393597076439
"78","AHCYL2","gene","MSTRG.35389",0.183196286542117,4.72608374657568e-09,7.07579564006549e-07,-2.4485378351292
"79","STMN2","gene","MSTRG.36837",0.224848319456463,4.79830863930886e-09,7.09299345441124e-07,-2.15297599371738
"81","RIOK3","gene","MSTRG.17974",0.473715767432237,4.97877672422931e-09,7.17804377599381e-07,-1.07790640266466
"84","LINC01082","gene","MSTRG.15339",0.311932178553992,5.27174892628324e-09,7.32898618584948e-07,-1.68069570778712
"85","PLCD1","gene","MSTRG.26185",0.358818899584912,5.4216322542544e-09,7.3791142446046e-07,-1.47867221349492
"88","SCGN","gene","MSTRG.32098",0.199080902460024,5.79962311508808e-09,7.68216956754614e-07,-2.32857326281781
"89","SLC6A6","gene","MSTRG.25972",3.42011462522091,5.85471049419084e-09,7.68216956754614e-07,1.77404467787917
"91","HHATL","gene","MSTRG.26266",0.470803462343065,6.37764729916057e-09,8.18441375380189e-07,-1.08680316472595
"92","PKIB","gene","MSTRG.33324",0.148087204577348,6.69035271627649e-09,8.45985432066825e-07,-2.75548110443139
"97","BMP5","gene","MSTRG.32805",0.400835798229003,7.70704167152303e-09,9.26591809135444e-07,-1.31891673500403
"98","TGFBI","gene","MSTRG.31065",3.53205351021038,7.7758175454079e-09,9.26591809135444e-07,1.82050719981831
"99","C1orf115","gene","MSTRG.3460",0.32983514414437,8.03888200451297e-09,9.40893057994607e-07,-1.60018296784781
"100","CTHRC1","gene","MSTRG.37136",5.57752665707083,8.05697086825319e-09,9.40893057994607e-07,2.47962550366117
"101","USP2","gene","MSTRG.7377",0.33388175352815,8.30686064379194e-09,9.60470481170319e-07,-1.58259084189885
"104","ADAMDEC1","gene","MSTRG.36285",0.0971193630087103,9.13096331878194e-09,1.02530182343015e-06,-3.36409723056981
"106","SMIM6","gene","MSTRG.17403",0.381680439023877,9.41013944544267e-09,1.03516687734445e-06,-1.38956284400688
"107","CFD","gene","MSTRG.18502",0.155985890778363,9.48474532247445e-09,1.03516687734445e-06,-2.68051255441937
"110","COL4A1","gene","MSTRG.10502",3.97644766910363,1.11309215178323e-08,1.18169910441133e-06,1.99148018487793
"112","PAUPAR","gene","MSTRG.6044",2.02023701436086,1.22224581566854e-08,1.27424659036168e-06,1.01452455999888
"113","CGREF1","gene","MSTRG.20793",3.26523413746488,1.23300106791291e-08,1.27424659036168e-06,1.70718644563033
"114","ENDOD1","gene","MSTRG.7062",0.384152035050172,1.2652933256696e-08,1.29614872431312e-06,-1.3802506985157
"116","NBPF1","gene","MSTRG.400",0.463602416354651,1.36779148007804e-08,1.36696594158008e-06,-1.10904000901367
"119","MTHFD1L","gene","MSTRG.33640",2.84658926623611,1.39900883100452e-08,1.37209119037326e-06,1.50923434193417
"120","KRT80","gene","MSTRG.8474",4.82412658617998,1.40992415520458e-08,1.37209119037326e-06,2.27026776438103
"121","SPINK2","gene","MSTRG.28650",0.489257532135652,1.42817122572581e-08,1.37836227884512e-06,-1.03133403352715
"122","ACADS","gene","MSTRG.9460",0.38072880407635,1.44461150819453e-08,1.3828010813685e-06,-1.39316437361833
"129","TMEM37","gene","MSTRG.21989",0.319799141997533,1.73919871837569e-08,1.57444671575126e-06,-1.64476202673067
"130","TNFRSF17","gene","MSTRG.14074",0.192396835258976,1.77381971333546e-08,1.58624230065239e-06,-2.37784302651606
"131","TENT5C","gene","MSTRG.2011",0.3117552060128,1.77939494250268e-08,1.58624230065239e-06,-1.6815144430084
"135","SLC22A18AS","gene","MSTRG.5631",0.286349561515954,2.05872274783303e-08,1.78087142586623e-06,-1.80415070060628
"136","CXCL8","gene","MSTRG.28787",6.98009294113372,2.08544838065094e-08,1.78234238370376e-06,2.80324624629453
"137","CDH3","gene","MSTRG.14988",5.12848949189804,2.09094799252796e-08,1.78234238370376e-06,2.35853396746202
"138","TMEM236","gene","MSTRG.4073",0.222293659591706,2.13035324936328e-08,1.79526696174128e-06,-2.16946129544758
"141","MYOC","gene","MSTRG.2839",0.38215692474281,2.19892397623767e-08,1.82120809890095e-06,-1.38776292243841
"143","TTYH3","gene","MSTRG.33950",2.3539985525825,2.32260184418465e-08,1.896737366181e-06,1.2351134332979
"146","PYY","gene","MSTRG.16696",0.0852945640239566,2.51566880660192e-08,2.01219043311625e-06,-3.55140239085228
"147","CEBPB","gene","MSTRG.24077",2.30119495933473,2.53295745489268e-08,2.01223654137665e-06,1.20238321517889
"148","MALL","gene","MSTRG.21868",0.26491495850129,2.58632142369208e-08,2.01708857595547e-06,-1.91639878667872
"155","SST","gene","MSTRG.27856",0.149302979822987,2.73255005289741e-08,2.05875609791845e-06,-2.74368513549029
"156","FAP","gene","MSTRG.22352",3.43843222525918,2.79899317057186e-08,2.09529757986783e-06,1.78175090899389
"158","RELL1","gene","MSTRG.28427",0.49986357840747,3.09941710074924e-08,2.2908223356044e-06,-1.00039368321936
"159","MYO15B","gene","MSTRG.17400",0.421715673131519,3.18212611816193e-08,2.33716156024497e-06,-1.2456574542783
"160","LRRC75A","gene","MSTRG.15916",0.394425919827695,3.2316194498172e-08,2.35867824593533e-06,-1.34217373288209
"162","CEACAM7","gene","MSTRG.19761",0.0523084107368607,3.3172660951486e-08,2.39129836167564e-06,-4.25681325185364
"166","ACSF2","gene","MSTRG.16952",0.401844122122734,3.59204697097937e-08,2.52698340524681e-06,-1.31529211550278
"167","HAPLN1","gene","MSTRG.30585",0.436162257508655,3.62431631373283e-08,2.53441712046539e-06,-1.19706316044499
"174","BHLHE40","gene","MSTRG.25848",2.62768696893623,4.37233635963707e-08,2.93410587347723e-06,1.39379342053777
"175","MPZ","gene","MSTRG.2659",0.382407825086987,4.40733345374866e-08,2.93410587347723e-06,-1.38681604986711
"179","FCGR3A","gene","MSTRG.2672",3.59852206456052,4.57730823244518e-08,2.98624611946898e-06,1.84740450435346
"181","SLC36A1","gene","MSTRG.31362",0.421104277208614,4.95728933458395e-08,3.19841021266692e-06,-1.24775056567264
"182","ARHGEF9","gene","MSTRG.39872",0.363716040466703,5.01829902077588e-08,3.20699070276692e-06,-1.45911554250194
"183","GCG","gene","MSTRG.22350",0.0791117262857048,5.02551206205126e-08,3.20699070276692e-06,-3.65996463666474
"184","LGALS9C","gene","MSTRG.15984",0.206158045238289,5.05491164481953e-08,3.20822055370665e-06,-2.27817733194465
"186","SLC25A23","gene","MSTRG.18751",0.456119404568858,5.21010377063647e-08,3.27116085126304e-06,-1.13251654718728
"188","CTPS1","gene","MSTRG.969",2.33143225196807,5.27509762537903e-08,3.27673351431789e-06,1.22121650766633
"190","EPHX4","gene","MSTRG.1674",2.44693625047119,5.45175407040688e-08,3.34019903141155e-06,1.29097651566858
"193","CRACD","gene","MSTRG.28630",0.362670424296248,5.52308876411445e-08,3.34189795789267e-06,-1.46326899628692
"194","GCNT2","gene","MSTRG.31917",0.442481207721154,5.61460002934666e-08,3.37975768776857e-06,-1.17631190998146
"197","CSE1L","gene","MSTRG.24050",2.15528064632819,5.88760614705919e-08,3.4901251058557e-06,1.10787573971063
"204","PHLPP2","gene","MSTRG.15071",0.30492635335429,6.59417793702488e-08,3.77484362493022e-06,-1.7134672537868
"208","SLC22A5","gene","MSTRG.30975",0.416671152032223,6.86805924354772e-08,3.83879627502016e-06,-1.26301887548224
"209","CPM","gene","MSTRG.8844",0.354845759456614,6.8702553646105e-08,3.83879627502016e-06,-1.49473602920467
"214","SNRNP27","gene","MSTRG.21349",0.465264165865776,7.63671992309867e-08,4.16023072669282e-06,-1.10387801829841
"215","UGP2","gene","MSTRG.21259",0.485487384071323,7.68054009281371e-08,4.16023072669282e-06,-1.04249428878815
"216","ENC1","gene","MSTRG.30449",2.10687599089018,7.7497028905249e-08,4.16023072669282e-06,1.0751054007272
"217","PLAC8","gene","MSTRG.28918",0.141295193503628,7.75715349732309e-08,4.16023072669282e-06,-2.82321570512791
"222","PHLDA1","gene","MSTRG.8918",3.58478699381148,7.97713409772527e-08,4.1962599996953e-06,1.841887397281
"224","GRINA","gene","MSTRG.37480",2.13301982908935,8.14836151885601e-08,4.23224132205845e-06,1.09289737739715
"226","THBS2","gene","MSTRG.33852",6.88981325194431,8.44592655813159e-08,4.36422700645401e-06,2.78446487928006
"229","RNASE1","gene","MSTRG.10638",0.403155962506433,8.61830926623952e-08,4.38631442619444e-06,-1.31059003577015
"232","JCHAIN","gene","MSTRG.28758",0.119000455630452,8.75585841608739e-08,4.40102800497229e-06,-3.07096099753452
"233","PDE9A","gene","MSTRG.24751",0.298360523422194,8.7809515769699e-08,4.40102800497229e-06,-1.74487143205097
"234","DDX60","gene","MSTRG.29621",0.425009371813705,9.11206202713899e-08,4.54746411764654e-06,-1.23443344064859
"235","SNTB1","gene","MSTRG.37235",2.71453672851539,9.16319493615703e-08,4.55352299848688e-06,1.44070600410611
"241","CD79A","gene","MSTRG.19769",0.234030574287766,9.64259097013809e-08,4.67245549167106e-06,-2.09523107579689
"244","ITM2C","gene","MSTRG.23139",0.244665243678599,9.92729449755814e-08,4.75126824354442e-06,-2.0311189233185
"249","SPP1","gene","MSTRG.28964",8.80157999710429,1.05626016710936e-07,4.95106872117509e-06,3.13776252936119
"250","RCAN2","gene","MSTRG.32731",0.38559057743043,1.06081537776248e-07,4.95106872117509e-06,-1.37485829762573
"252","PRRG1","gene","MSTRG.39564",0.435682504056153,1.06839297631112e-07,4.95106872117509e-06,-1.1986509155756
"257","PTN","gene","MSTRG.35487",0.30875478444801,1.13002450286004e-07,5.134796165136e-06,-1.69546660208985
"259","IGHJ3P","gene","MSTRG.12038",0.200759070016284,1.1656073595212e-07,5.25558407123113e-06,-2.31646292671178
"260","ANLN","gene","MSTRG.34374",2.83223194263778,1.17264609578172e-07,5.26698504097649e-06,1.50193941824264
"268","FAM89A","gene","MSTRG.3633",2.04217586375638,1.26430902858132e-07,5.50917941633309e-06,1.03010711050775
"269","EPOP","gene","MSTRG.16458",2.63796237298923,1.273691088155e-07,5.52942919236957e-06,1.39942398661789
"272","ITM2A","gene","MSTRG.40048",0.321906721423246,1.30866937508856e-07,5.61861800083976e-06,-1.63528539423596
"277","HRCT1","gene","MSTRG.37905",0.225486517962749,1.37422614843175e-07,5.79357868642091e-06,-2.14888691883354
"279","SECTM1","gene","MSTRG.17655",0.223232876965144,1.40868232634261e-07,5.89626960825414e-06,-2.16337857694234
"284","NEURL1","gene","MSTRG.5163",0.353788807793342,1.48431053337283e-07,6.10344310166478e-06,-1.49903968619321
"285","CD177P1","gene","MSTRG.19805",0.145764570082227,1.5240401851635e-07,6.24482150257521e-06,-2.77828799784382
"286","ADAMTS12","gene","MSTRG.30052",2.28039165185697,1.53259167356978e-07,6.25790404333844e-06,1.18928162512133
"287","NR3C2","gene","MSTRG.29444",0.245982108044671,1.55351837838325e-07,6.29725091474318e-06,-2.02337471255035
"289","SCNN1B","gene","MSTRG.14297",0.131454923879672,1.57109854903581e-07,6.29725091474318e-06,-2.92735991319202
"293","SNAI1","gene","MSTRG.24070",2.28011856323924,1.5926558960544e-07,6.33088054469835e-06,1.18910884463124
"295","MOB3B","gene","MSTRG.37773",0.477151040506892,1.64328777807476e-07,6.48466880934051e-06,-1.06748207624981
"304","GTF2IRD1","gene","MSTRG.34724",2.32478121337766,1.77741147355803e-07,6.82783262770089e-06,1.21709494967131
"306","TMEM171","gene","MSTRG.30434",0.293547166127509,1.79153311630209e-07,6.83709925888099e-06,-1.76833576575565
"307","CASP7","gene","MSTRG.5242",0.433453871755182,1.80609874167459e-07,6.870234887712e-06,-1.20604962515651
"309","CPNE8","gene","MSTRG.8213",0.387850561347789,1.83109994056352e-07,6.92025407957954e-06,-1.36642720518461
"310","STC1","gene","MSTRG.36282",2.49155841602786,1.84466658836868e-07,6.94678081370486e-06,1.31704839923748
"311","SMOX","gene","MSTRG.23452",2.964225095409,1.85001612695856e-07,6.94678081370486e-06,1.56765500624695
"317","TCF21","gene","MSTRG.33425",0.375701364961277,1.94411570619835e-07,7.16195054163542e-06,-1.41234173744032
"320","CASC19","gene","MSTRG.37309",2.29562388670052,2.01703006741383e-07,7.36089910226834e-06,1.19888629129909
"321","STC2","gene","MSTRG.31579",3.37566478306804,2.02381526981377e-07,7.36265256102342e-06,1.75517164580545
"322","ALPP","gene","MSTRG.23175",0.343306572956248,2.05425496169198e-07,7.43201597368323e-06,-1.54243061545236
"324","CHP2","gene","MSTRG.14320",0.0910828969633685,2.0619739471428e-07,7.43201597368323e-06,-3.45667601151693
"328","FOXQ1","gene","MSTRG.31798",6.269270492119,2.09547438956292e-07,7.4606554638158e-06,2.64829757721661
"331","LRRC19","gene","MSTRG.37767",0.239739132086566,2.17690934389836e-07,7.6773504588906e-06,-2.06046267876886
"333","DBNDD1","gene","MSTRG.15467",3.11094675940014,2.20660687721974e-07,7.73836489855019e-06,1.63735370486694
"334","DGAT2","gene","MSTRG.6863",3.76195085752322,2.2330579341201e-07,7.78681740746063e-06,1.91148100301565
"335","LINC01752","gene","MSTRG.23521",0.225698072596924,2.23375906105439e-07,7.78681740746063e-06,-2.14753399654695
"336","MAL","gene","MSTRG.21671",0.499714428528942,2.25477994275636e-07,7.83670243199665e-06,-1.0008242204865
"339","CITED2","gene","MSTRG.33519",0.452869675037752,2.36885937976439e-07,8.13246759089014e-06,-1.14283215770158
"340","GNA11","gene","MSTRG.18620",0.468109803375074,2.3733208620591e-07,8.13246759089014e-06,-1.09508111592486
"342","TRIB3","gene","MSTRG.23368",4.16126550722245,2.44763540990789e-07,8.35774453710653e-06,2.05702234167103
"344","POU2AF1","gene","MSTRG.7188",0.307529933538889,2.4732454684262e-07,8.3960931919422e-06,-1.70120125234986
"351","PLP1","gene","MSTRG.40186",0.268840578923276,2.55740596255549e-07,8.50865721673021e-06,-1.89517717926735
"358","LIMA1","gene","MSTRG.8415",0.421008635350133,2.64937066285498e-07,8.56527179679636e-06,-1.24807827003026
"360","FJX1","gene","MSTRG.6105",2.08934966314467,2.65917298958307e-07,8.56527179679636e-06,1.06305395486108
"361","SULF1","gene","MSTRG.36731",3.49405920985252,2.6624066784553e-07,8.56527179679636e-06,1.80490405617592
"365","AMPD1","gene","MSTRG.1963",0.443068559571947,2.694133511838e-07,8.61975100034088e-06,-1.1743981389932
"371","PLPP1","gene","MSTRG.30247",0.48668589055711,2.80945178898762e-07,8.84333638592921e-06,-1.03893714463575
"373","MMP7","gene","MSTRG.7100",10.1824493519779,2.9139149781976e-07,9.12297563415322e-06,3.34801273320787
"375","CES2","gene","MSTRG.14905",0.423568522378686,2.96749984585176e-07,9.19293011051332e-06,-1.23933271588656
"376","IRF4","gene","MSTRG.31781",0.324014562253175,2.97218024969403e-07,9.19293011051332e-06,-1.62586944098015
"377","RGS16","gene","MSTRG.2980",2.35228931604856,2.97352516498428e-07,9.19293011051332e-06,1.23406551304802
"378","SELENBP1","gene","MSTRG.2339",0.254191503949499,2.97561875473029e-07,9.19293011051332e-06,-1.97601228411477
"379","PRPH","gene","MSTRG.8378",0.303786750907434,2.98886257077413e-07,9.20948208482858e-06,-1.71886914412885
"388","TTC22","gene","MSTRG.1292",0.30895258630963,3.19347598143338e-07,9.61170425545851e-06,-1.69454264428037
"391","RAVER2","gene","MSTRG.1407",0.473595421067206,3.2370797287129e-07,9.64570032170311e-06,-1.07827296247533
"392","LINC01133","gene","MSTRG.2595",0.450323989735327,3.24262549700194e-07,9.64570032170311e-06,-1.15096475966752
"396","TIMP1","gene","MSTRG.39679",3.4278748162973,3.31946943710193e-07,9.78908184001928e-06,1.77731442415147
"399","P2RY1","gene","MSTRG.27478",0.364588365816299,3.50379513402999e-07,1.02549673120807e-05,-1.45565956984309
"401","FRMD1","gene","MSTRG.33844",0.354332062344056,3.72194123299252e-07,1.08391096555827e-05,-1.49682607879066
"402","MIR4537","gene","MSTRG.12037",0.441601442182771,3.78372162490592e-07,1.09916171979232e-05,-1.17918321120757
"404","PADI2","gene","MSTRG.427",0.166404563394583,3.81186716191806e-07,1.10165330939262e-05,-2.58723309712674
"405","C16orf89","gene","MSTRG.13986",0.368586642287349,3.82059933468071e-07,1.10165330939262e-05,-1.43992430675919
"409","TST","gene","MSTRG.25468",0.436864825316589,3.9563028431111e-07,1.12962602938512e-05,-1.19474114471113
"410","BMP6","gene","MSTRG.31906",0.469468904244892,4.03343167976189e-07,1.14714894321282e-05,-1.09089849223171
"412","FER1L6","gene","MSTRG.37280",0.343223115857798,4.14949314464508e-07,1.17377115300499e-05,-1.54278137418754
"415","ARL14","gene","MSTRG.27570",0.34641110110937,4.20764753705782e-07,1.18402187801834e-05,-1.52944293139658
"416","SPARC","gene","MSTRG.31367",2.60127055884371,4.23592403153705e-07,1.18911348173773e-05,1.37921646218056
"423","CMA1","gene","MSTRG.10843",0.469600616235454,4.36292661665227e-07,1.20449780211029e-05,-1.0904937932553
"425","SEMA6A","gene","MSTRG.30836",0.34791329005416,4.41841388587605e-07,1.21407617315907e-05,-1.52320030489473
"429","SLC19A2","gene","MSTRG.2798",2.05357983202425,4.573884602177e-07,1.24242398834676e-05,1.03814103255038
"430","ESM1","gene","MSTRG.30233",2.76440126943132,4.5747757748682e-07,1.24242398834676e-05,1.46696704676832
"431","TDP2","gene","MSTRG.32070",0.403657488575655,4.61228741754915e-07,1.24802843070521e-05,-1.30879643834024
"437","IRAG2","gene","MSTRG.8070",0.383234945757459,4.78606631104661e-07,1.27898586682843e-05,-1.3836989738647
"441","CLIC5","gene","MSTRG.32726",0.342821611281839,4.85538332095636e-07,1.28574073519566e-05,-1.54447003588509
"443","SFRP1","gene","MSTRG.36492",0.272247771290793,4.96662798665781e-07,1.30748409750277e-05,-1.87700785626981
"449","C4orf19","gene","MSTRG.28424",0.431955292835745,5.39674186894601e-07,1.40363366471161e-05,-1.21104609301215
"451","CDC6","gene","MSTRG.16526",2.01245473550629,5.49677870109733e-07,1.42331223218214e-05,1.00895633423595
"452","PAQR8","gene","MSTRG.32770",0.383654613599539,5.51631188727697e-07,1.42520996061107e-05,-1.38211999089997
"458","GPD1L","gene","MSTRG.26120",0.436905431713727,5.87215406744335e-07,1.49328960553578e-05,-1.19460705306095
"465","VIPR1","gene","MSTRG.26256",0.316355224214697,6.04638174528382e-07,1.51707736220572e-05,-1.66038267451618
"469","LGALS2","gene","MSTRG.25483",0.219438217243806,6.32892335206137e-07,1.5758884201572e-05,-2.18811328825919
"470","CLDN8","gene","MSTRG.24524",0.104482246293891,6.34828068779569e-07,1.57734514621443e-05,-3.25867027564095
"471","FPR1","gene","MSTRG.20198",2.56667382487125,6.38494232596543e-07,1.58308612489648e-05,1.35989996862866
"477","IFITM2","gene","MSTRG.5499",2.15946720362503,6.55782396941085e-07,1.60549828752159e-05,1.11067540613659
"478","SEMA6D","gene","MSTRG.12658",0.462126298161331,6.61007723223861e-07,1.61490547945779e-05,-1.11364090378719
"483","DPT","gene","MSTRG.2783",0.215567952953938,7.06471840361544e-07,1.70778450012928e-05,-2.2137853766806
"486","HEPACAM2","gene","MSTRG.34918",0.121673376689652,7.1191551787031e-07,1.71064802833117e-05,-3.03891456791765
"492","RBM47","gene","MSTRG.28486",0.455247508010573,7.27641751963048e-07,1.72711389825701e-05,-1.135276974864
"493","TMEM100","gene","MSTRG.17000",0.419605252077077,7.33456043899849e-07,1.73738330236561e-05,-1.25289535906434
"495","ECRG4","gene","MSTRG.21811",0.332716464741896,7.58357096675155e-07,1.78910993433787e-05,-1.58763483397545
"509","MAMDC2","gene","MSTRG.38179",0.324453386831804,8.22681813783532e-07,1.88748098651554e-05,-1.62391686910381
"510","GPA33","gene","MSTRG.2748",0.240367355924094,8.39494328497281e-07,1.9222774055277e-05,-2.0566871166597
"515","C1orf21","gene","MSTRG.3009",0.498910587600337,8.63020890862209e-07,1.95696271135706e-05,-1.00314680915212
"521","LTBP4","gene","MSTRG.19708",0.418909755430497,8.96889556178948e-07,2.010340928418e-05,-1.25528861329137
"525","UGT2A3","gene","MSTRG.28727",0.203449905440554,9.23908145877839e-07,2.05512368144027e-05,-2.29725448501138
"531","EDIL3","gene","MSTRG.30589",0.33631359152793,9.47762345049341e-07,2.08436321383921e-05,-1.57212101083786
"535","RRP12","gene","MSTRG.5016",2.27327790245182,9.64288773053212e-07,2.1048531386384e-05,1.18477406074258
"539","RMDN2","gene","MSTRG.20943",0.484838473026965,9.73092918465923e-07,2.10830781110298e-05,-1.04442391042688
"542","DHRS9","gene","MSTRG.22402",0.19413271583751,9.93853899400321e-07,2.14137008066364e-05,-2.36488482897771
"543","CR2","gene","MSTRG.3315",0.399889621078866,9.97321299323062e-07,2.14488363416109e-05,-1.3223262576312
"546","CCN4","gene","MSTRG.37357",2.05931870270162,1.01622887904718e-06,2.16962818643412e-05,1.04216712051238
"551","OGN","gene","MSTRG.38368",0.297627993534267,1.04316852311825e-06,2.21091143611161e-05,-1.74841786873128
"552","TLR3","gene","MSTRG.29783",0.449980937041312,1.04965307423655e-06,2.22062474654608e-05,-1.15206421037505
"556","HSD17B2","gene","MSTRG.15259",0.198762024089472,1.07356027512218e-06,2.25268088849812e-05,-2.33088595615308
"559","SLC7A5","gene","MSTRG.15374",3.59712139595655,1.0824513145824e-06,2.26133568008824e-05,1.84684284848891
"563","MARVELD3","gene","MSTRG.15070",0.457367732197411,1.09604373821348e-06,2.26989841916177e-05,-1.12857350928842
"564","VPREB3","gene","MSTRG.25183",0.402331073142238,1.09812878956728e-06,2.26989841916177e-05,-1.31354492929014
"567","UGDH","gene","MSTRG.28461",0.466136134414067,1.12228723647689e-06,2.31020740694245e-05,-1.10117674137682
"572","SLC5A6","gene","MSTRG.20796",2.3151839818211,1.13415316704835e-06,2.31549662321514e-05,1.21112684537066
"574","CAPN13","gene","MSTRG.20865",0.460480985228393,1.14186553989981e-06,2.31954301136812e-05,-1.1187865109553
"575","SCD","gene","MSTRG.5071",3.38582153463188,1.14209387869213e-06,2.31954301136812e-05,1.75950593132952
"580","SULT2B1","gene","MSTRG.20019",3.59234920595378,1.18364202084109e-06,2.38320198610039e-05,1.84492759874563
"581","VSIG2","gene","MSTRG.7460",0.112078507317388,1.18637064971949e-06,2.38364028478843e-05,-3.15741844796158
"584","PPARGC1A","gene","MSTRG.28384",0.442779010351122,1.1930365181323e-06,2.38364028478843e-05,-1.17534126116012
"590","NKX2-3","gene","MSTRG.5049",0.277757657297058,1.22454763418212e-06,2.4237741138947e-05,-1.8481014101237
"592","PPM1H","gene","MSTRG.8726",2.02374927268222,1.24254718192329e-06,2.44966412488333e-05,1.01703056203596
"596","HOXD1","gene","MSTRG.22510",0.404675450712378,1.25788326710286e-06,2.46469140825959e-05,-1.30516276307737
"598","DDX21","gene","MSTRG.4589",2.04044707440508,1.27272212591123e-06,2.48407642880348e-05,1.02888529011888
"601","PIGZ","gene","MSTRG.28013",0.376988423719974,1.28866996984556e-06,2.50400797135714e-05,-1.40740787191916
"603","KRT20","gene","MSTRG.16547",0.183220363351839,1.29872616794202e-06,2.51517814083365e-05,-2.44834823951968
